"sha","file","previous_implications"
"f646e34f614ca93b7ca3319834582422b5f07a8b","maven-mboot/src/main/HttpUtils.java","0"
"f646e34f614ca93b7ca3319834582422b5f07a8b","maven-mboot/src/main/Bootstrapper.java","0"
"15209dd9f135e0fb5bad50f0ac265c2d46191840","maven-mboot/src/main/Bootstrapper.java","0"
"6e809cc44a1907cb032c8ffaab471e8e6197c4fe","maven-mboot/src/main/Bootstrapper.java","0"
"343b9d0be9baba03c28a6b0a7bf11b87689b4a7f","maven-mboot/src/main/Bootstrapper.java","0"
"aac35562adda2109bd94080556a5e566fc41cc6b","maven-mboot/src/main/Bootstrapper.java","0"
"1f34a967429509d47daddbde1e367076fb8e4c12","maven-mboot/src/main/IsolatedClassLoader.java","0"
"1f34a967429509d47daddbde1e367076fb8e4c12","maven-mboot/src/main/TestRunnerBooter.java","0"
"1f34a967429509d47daddbde1e367076fb8e4c12","maven-mboot/src/main/Bootstrapper.java","0"
"1f34a967429509d47daddbde1e367076fb8e4c12","maven-mboot/src/main/ArtifactDownloader.java","0"
"4d2d34f5cb0182507a6c0a99559721aa7fe5e636","maven-mboot/src/main/TestRunnerBooter.java","0"
"4d2d34f5cb0182507a6c0a99559721aa7fe5e636","maven-mboot/src/main/Bootstrapper.java","0"
"4ce99cda4026db2168c5e22a7b171214dc503164","maven-mboot/src/main/Bootstrapper.java","0"
"8b47999877a1e5c9e6c4de7cb478e6c5c16f5cc6","maven-mboot/src/main/TestRunnerBooter.java","0"
"8b47999877a1e5c9e6c4de7cb478e6c5c16f5cc6","maven-mboot/src/main/Bootstrapper.java","0"
"feeeacc13de969e5273696b6d4faa894d585a174","maven-mboot/src/main/TestRunnerBooter.java","0"
"feeeacc13de969e5273696b6d4faa894d585a174","maven-mboot/src/main/Bootstrapper.java","0"
"2cf870015cc07627c0e5eadfe142062013e1840a","maven-mboot/src/main/Bootstrapper.java","0"
"0abaebbe2917f4757859e6bf5b05da7e13a843b0","maven-mboot/src/main/HttpUtils.java","0"
"0abaebbe2917f4757859e6bf5b05da7e13a843b0","maven-mboot/src/main/Bootstrapper.java","0"
"9a7650eb9b7edb613e9c941e02879960c058fba2","maven-mboot/src/main/Bootstrapper.java","0"
"85700523e59a352f069a70e8cebb3e51f8279225","maven-mboot/src/main/Bootstrapper.java","0"
"85700523e59a352f069a70e8cebb3e51f8279225","maven-mboot/src/main/ArtifactDownloader.java","0"
"db73ddffa5c56c8a9b0461d447e32063fd827666","maven-mboot/src/main/Bootstrapper.java","0"
