sha,file,implicated
b9abe3e600bc7177638f6e8e396e3b46da17665f,lucene/analysis/common/src/java/org/apache/lucene/analysis/query/QueryAutoStopWordAnalyzer.java,1
d54099b87f8600e5a08966e44194d26109875d68,solr/core/src/test/org/apache/solr/cloud/ZkCLITest.java,1
58ff57393e992633f8df9c7dc10eee21dd629500,solr/src/test/org/apache/solr/handler/TestCSVLoader.java,1
1ba83ee5c62b8bbff03de672f737dd6c6965e800,solr/core/src/java/org/apache/solr/core/SolrCores.java,1
fb85bfe0abc68b209e0e9a5404f1b847ae468ad9,solr/core/src/java/org/apache/solr/search/ExportQParserPlugin.java,1
fb85bfe0abc68b209e0e9a5404f1b847ae468ad9,solr/core/src/test/org/apache/solr/response/TestSortingResponseWriter.java,1
fb85bfe0abc68b209e0e9a5404f1b847ae468ad9,solr/core/src/java/org/apache/solr/response/SortingResponseWriter.java,1
fb85bfe0abc68b209e0e9a5404f1b847ae468ad9,solr/core/src/java/org/apache/solr/search/QParserPlugin.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/index/SegmentReader.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/index/ReadersAndUpdates.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/codecs/src/java/org/apache/lucene/codecs/simpletext/SimpleTextPerDocProducer.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/codecs/lucene40/Lucene40TermVectorsReader.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/index/MergePolicy.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/codecs/lucene40/Lucene40DocValuesProducer.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/backward-codecs/src/java/org/apache/lucene/codecs/lucene40/Lucene40StoredFieldsReader.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/misc/src/java/org/apache/lucene/index/BalancedSegmentMergePolicy.java,1
9085ef830d30c162f52d7510be1b66699e390e8f,lucene/core/src/java/org/apache/lucene/index/LogMergePolicy.java,1
