"sha","file","previous_implications"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/test/java/org/apache/mahout/utils/UserDefinedDistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/test/java/org/apache/mahout/clustering/canopy/UserDefinedDistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/clustering/canopy/EuclideanDistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/clustering/canopy/Canopy.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/utils/ManhattanDistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/test/java/org/apache/mahout/clustering/canopy/TestCanopyCreation.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/utils/EuclideanDistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/clustering/canopy/DistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/utils/DistanceMeasure.java","0"
"b7c044dc0c472a8a747541889e0cc450585e1d92","src/main/java/org/apache/mahout/clustering/canopy/ManhattanDistanceMeasure.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/CanopyMapper.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/Canopy.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/clustering/canopy/DummyOutputCollector.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/kmeans/KMeansReducer.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/clustering/kmeans/TestKmeansClustering.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/kmeans/Cluster.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/clustering/kmeans/VisibleCluster.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/utils/DistanceMeasure.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/clustering/canopy/VisibleCanopy.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/ClusterDriver.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/CanopyClusteringJob.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/clustering/canopy/TestCanopyCreation.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/utils/Point.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/CanopyCombiner.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/kmeans/KMeansCombiner.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/CanopyDriver.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/test/java/org/apache/mahout/utils/UserDefinedDistanceMeasure.java","0"
"5339db364918df7a20fd4345558facc5f71dda91","src/main/java/org/apache/mahout/clustering/canopy/ClusterMapper.java","0"
